Star|n_Star|RAJ2000|DEJ2000|XSLID|MJD|ArmMissing|spU|spV|spN|FileUVB|FileVIS|FileNIR|Comments|SimbadName
BD+30 2611               | |15 06 53.820|+30 00 36.9|X0393|56097.0097|       |spU|spV|spN|fits/xsl_spectrum_X0393_uvb.fits        |fits/xsl_spectrum_X0393_vis.fits        |fits/xsl_spectrum_X0393_nir.fits        |                                                                                                                                                                                                        |BD+30 2611
BD+30 2611               | |15 06 53.820|+30 00 36.9|X0394|56097.0125|       |spU|spV|spN|fits/xsl_spectrum_X0394_uvb.fits        |fits/xsl_spectrum_X0394_vis.fits        |fits/xsl_spectrum_X0394_nir.fits        |                                                                                                                                                                                                        |BD+30 2611
HD 134063                | |15 07 15.440|+22 33 51.7|X0395|56097.0270|       |spU|spV|spN|fits/xsl_spectrum_X0395_uvb.fits        |fits/xsl_spectrum_X0395_vis.fits        |fits/xsl_spectrum_X0395_nir.fits        |                                                                                                                                                                                                        |HD 134063
HD 134063                | |15 07 15.440|+22 33 51.7|X0618|56326.3592|       |spU|spV|spN|fits/xsl_spectrum_X0618_uvb.fits        |fits/xsl_spectrum_X0618_vis.fits        |fits/xsl_spectrum_X0618_nir.fits        |                                                                                                                                                                                                        |HD 134063
IRAS 15060+0947          | |15 08 25.750|+09 36 18.3|X0234|55414.0189|NIR    |spU|spV|spN|fits_nlc/xsl_spectrum_X0234_uvb_nlc.fits|fits/xsl_spectrum_X0234_vis.fits        |                                        |                                                                                                                                                                                                        |IRAS 15060+0947
HD 134440                | |15 10 12.970|-16 27 46.5|X0383|56088.2353|       |spU|spV|spN|fits/xsl_spectrum_X0383_uvb.fits        |fits/xsl_spectrum_X0383_vis.fits        |fits/xsl_spectrum_X0383_nir.fits        |                                                                                                                                                                                                        |HD 134440
HD 134439                | |15 10 13.090|-16 22 45.8|X0374|56087.2603|       |spU|spV|spN|fits/xsl_spectrum_X0374_uvb.fits        |fits/xsl_spectrum_X0374_vis.fits        |fits/xsl_spectrum_X0374_nir.fits        |                                                                                                                                                                                                        |HD 134439
CL* NGC 5904 Arp III-03  | |15 18 18.680|+02 04 32.9|X0380|56088.2114|       |spU|spV|spN|fits/xsl_spectrum_X0380_uvb.fits        |fits/xsl_spectrum_X0380_vis.fits        |fits/xsl_spectrum_X0380_nir.fits        |                                                                                                                                                                                                        |CL* NGC 5904 Arp III-03
CL* NGC 5904 Arp IV-19   | |15 18 35.050|+02 01 06.9|X0381|56088.2206|       |spU|spV|spN|fits/xsl_spectrum_X0381_uvb.fits        |fits/xsl_spectrum_X0381_vis.fits        |fits/xsl_spectrum_X0381_nir.fits        |                                                                                                                                                                                                        |CL* NGC 5904 Arp IV-19
HIP 75423                | |15 24 45.750|-17 07 39.3|X0683|56412.1752|       |spU|spV|spN|fits/xsl_spectrum_X0683_uvb.fits        |fits/xsl_spectrum_X0683_vis.fits        |fits/xsl_spectrum_X0683_nir.fits        |                                                                                                                                                                                                        |HIP 75423
HIP 75423                | |15 24 45.750|-17 07 39.3|X0684|56412.1786|       |spU|spV|spN|fits/xsl_spectrum_X0684_uvb.fits        |fits/xsl_spectrum_X0684_vis.fits        |fits/xsl_spectrum_X0684_nir.fits        |                                                                                                                                                                                                        |HIP 75423
HD 138290                | |15 30 55.430|+08 34 44.7|X0410|56111.0023|       |spU|spV|spN|fits/xsl_spectrum_X0410_uvb.fits        |fits/xsl_spectrum_X0410_vis.fits        |fits/xsl_spectrum_X0410_nir.fits        |                                                                                                                                                                                                        |HD 138290
HD 138776                | |15 34 16.920|-02 43 26.6|X0685|56412.1855|       |spU|spV|spN|fits/xsl_spectrum_X0685_uvb.fits        |fits/xsl_spectrum_X0685_vis.fits        |fits/xsl_spectrum_X0685_nir.fits        |                                                                                                                                                                                                        |HD 138776
HD 138776                | |15 34 16.920|-02 43 26.6|X0686|56412.1883|       |spU|spV|spN|fits/xsl_spectrum_X0686_uvb.fits        |fits/xsl_spectrum_X0686_vis.fits        |fits/xsl_spectrum_X0686_nir.fits        |                                                                                                                                                                                                        |HD 138776
X Lib                    | |15 36 12.710|-21 09 03.9|X0689|56412.2099|       |spU|spV|spN|fits/xsl_spectrum_X0689_uvb.fits        |fits/xsl_spectrum_X0689_vis.fits        |fits/xsl_spectrum_X0689_nir.fits        |                                                                                                                                                                                                        |X Lib
X Lib                    | |15 36 12.710|-21 09 03.9|X0690|56412.2127|       |spU|spV|spN|fits/xsl_spectrum_X0690_uvb.fits        |fits/xsl_spectrum_X0690_vis.fits        |fits/xsl_spectrum_X0690_nir.fits        |                                                                                                                                                                                                        |X Lib
HD 140232                | |15 41 54.720|+18 27 50.5|X0633|56383.2962|       |spU|spV|spN|fits/xsl_spectrum_X0633_uvb.fits        |fits/xsl_spectrum_X0633_vis.fits        |fits/xsl_spectrum_X0633_nir.fits        |                                                                                                                                                                                                        |HD 140232
HD 139717                | |15 42 20.920|-55 18 42.9|X0632|56383.2887|       |spU|spV|spN|fits/xsl_spectrum_X0632_uvb.fits        |fits/xsl_spectrum_X0632_vis.fits        |fits/xsl_spectrum_X0632_nir.fits        |                                                                                                                                                                                                        |HD 139717
HD 140283                | |15 43 03.100|-10 56 00.6|X0687|56412.2018|       |spU|spV|spN|fits/xsl_spectrum_X0687_uvb.fits        |fits/xsl_spectrum_X0687_vis.fits        |fits/xsl_spectrum_X0687_nir.fits        |                                                                                                                                                                                                        |HD 140283
HD 140283                | |15 43 03.100|-10 56 00.6|X0688|56412.2049|       |spU|spV|spN|fits/xsl_spectrum_X0688_uvb.fits        |fits/xsl_spectrum_X0688_vis.fits        |fits/xsl_spectrum_X0688_nir.fits        |                                                                                                                                                                                                        |HD 140283
HD 141531                | |15 49 16.500|+09 36 42.4|X0500|56168.0127|       |spU|spV|spN|fits/xsl_spectrum_X0500_uvb.fits        |fits/xsl_spectrum_X0500_vis.fits        |fits/xsl_spectrum_X0500_nir.fits        |                                                                                                                                                                                                        |HD 141531
HD 141531                | |15 49 16.500|+09 36 42.4|X0501|56168.0153|       |spU|spV|spN|fits/xsl_spectrum_X0501_uvb.fits        |fits/xsl_spectrum_X0501_vis.fits        |fits/xsl_spectrum_X0501_nir.fits        |                                                                                                                                                                                                        |HD 141531
HD 141531                | |15 49 16.500|+09 36 42.4|X0620|56357.3894|       |spU|spV|spN|fits/xsl_spectrum_X0620_uvb.fits        |fits/xsl_spectrum_X0620_vis.fits        |fits/xsl_spectrum_X0620_nir.fits        |                                                                                                                                                                                                        |HD 141531
HD 141531                | |15 49 16.500|+09 36 42.4|X0634|56383.3030|       |spU|spV|spN|fits/xsl_spectrum_X0634_uvb.fits        |fits/xsl_spectrum_X0634_vis.fits        |fits/xsl_spectrum_X0634_nir.fits        |                                                                                                                                                                                                        |HD 141531
HD 142575                | |15 55 02.840|+05 04 12.1|X0636|56383.3190|       |spU|spV|spN|fits/xsl_spectrum_X0636_uvb.fits        |fits/xsl_spectrum_X0636_vis.fits        |fits/xsl_spectrum_X0636_nir.fits        |                                                                                                                                                                                                        |HD 142575
HD 142703                | |15 56 33.370|-14 49 45.9|X0691|56412.2181|       |spU|spV|spN|fits/xsl_spectrum_X0691_uvb.fits        |fits/xsl_spectrum_X0691_vis.fits        |fits/xsl_spectrum_X0691_nir.fits        |                                                                                                                                                                                                        |HD 142703
HD 143459                | |16 00 47.630|-08 24 40.8|X0386|56091.1735|       |spU|spV|spN|fits/xsl_spectrum_X0386_uvb.fits        |fits/xsl_spectrum_X0386_vis.fits        |fits/xsl_spectrum_X0386_nir.fits        |                                                                                                                                                                                                        |HD 143459
HD 144172                | |16 04 29.590|+00 40 20.0|X0455|56155.9905|       |spU|spV|spN|fits/xsl_spectrum_X0455_uvb.fits        |fits/xsl_spectrum_X0455_vis.fits        |fits/xsl_spectrum_X0455_nir.fits        |                                                                                                                                                                                                        |HD 144172
HD 144921                | |16 07 27.250|+24 54 29.9|X0498|56167.9908|       |spU|spV|spN|fits/xsl_spectrum_X0498_uvb.fits        |fits/xsl_spectrum_X0498_vis.fits        |fits/xsl_spectrum_X0498_nir.fits        |                                                                                                                                                                                                        |HD 144921
HD 144921                | |16 07 27.250|+24 54 29.9|X0694|56412.3303|       |spU|spV|spN|fits/xsl_spectrum_X0694_uvb.fits        |fits/xsl_spectrum_X0694_vis.fits        |fits/xsl_spectrum_X0694_nir.fits        |                                                                                                                                                                                                        |HD 144921
CPD-53 07400f            | |16 13 18.010|-54 14 06.3|X0365|56069.0917|       |spU|spV|spN|fits/xsl_spectrum_X0365_uvb.fits        |fits/xsl_spectrum_X0365_vis.fits        |fits/xsl_spectrum_X0365_nir.fits        |                                                                                                                                                                                                        |CPD-53 07400f
CPD-53 07400f            | |16 13 18.010|-54 14 06.3|X0367|56070.3852|       |spU|spV|spN|fits/xsl_spectrum_X0367_uvb.fits        |fits/xsl_spectrum_X0367_vis.fits        |fits/xsl_spectrum_X0367_nir.fits        |                                                                                                                                                                                                        |CPD-53 07400f
HD 147550                | |16 22 38.900|-02 04 47.5|X0245|55438.0453|       |spU|spV|spN|fits/xsl_spectrum_X0245_uvb.fits        |fits/xsl_spectrum_X0245_vis.fits        |fits/xsl_spectrum_X0245_nir.fits        |                                                                                                                                                                                                        |HD 147550
BD-11 4126               | |16 23 26.910|-11 35 40.5|X0356|56051.1654|       |spU|spV|spN|fits/xsl_spectrum_X0356_uvb.fits        |fits/xsl_spectrum_X0356_vis.fits        |fits/xsl_spectrum_X0356_nir.fits        |                                                                                                                                                                                                        |BD-11 4126
CL* NGC 6121 LEE 2626    | |16 23 26.950|-26 31 31.3|X0354|56043.3458|       |spU|spV|spN|fits/xsl_spectrum_X0354_uvb.fits        |fits/xsl_spectrum_X0354_vis.fits        |fits/xsl_spectrum_X0354_nir.fits        |                                                                                                                                                                                                        |CL* NGC 6121 LEE 2626
CL* NGC 6121 LEE 2626    | |16 23 26.950|-26 31 31.3|X0502|56168.0301|       |spU|spV|spN|fits/xsl_spectrum_X0502_uvb.fits        |fits/xsl_spectrum_X0502_vis.fits        |fits/xsl_spectrum_X0502_nir.fits        |                                                                                                                                                                                                        |CL* NGC 6121 LEE 2626
CL* NGC 6121 LEE 2626    | |16 23 26.950|-26 31 31.3|X0661|56407.3246|       |spU|spV|spN|fits/xsl_spectrum_X0661_uvb.fits        |fits/xsl_spectrum_X0661_vis.fits        |fits/xsl_spectrum_X0661_nir.fits        |                                                                                                                                                                                                        |CL* NGC 6121 LEE 2626
CL* NGC 6121 LEE 2303    | |16 23 31.950|-26 24 18.2|X0640|56394.3855|       |spU|spV|spN|fits/xsl_spectrum_X0640_uvb.fits        |fits/xsl_spectrum_X0640_vis.fits        |fits/xsl_spectrum_X0640_nir.fits        |                                                                                                                                                                                                        |CL* NGC 6121 LEE 2303
CL* NGC 6121 LEE 4302    | |16 23 37.420|-26 38 23.9|X0352|56043.3128|       |spU|spV|spN|fits/xsl_spectrum_X0352_uvb.fits        |fits/xsl_spectrum_X0352_vis.fits        |fits/xsl_spectrum_X0352_nir.fits        |                                                                                                                                                                                                        |CL* NGC 6121 LEE 4302
CL* NGC 6121 LEE 4302    | |16 23 37.420|-26 38 23.9|X0621|56372.3940|       |spU|spV|spN|fits/xsl_spectrum_X0621_uvb.fits        |fits/xsl_spectrum_X0621_vis.fits        |fits/xsl_spectrum_X0621_nir.fits        |                                                                                                                                                                                                        |CL* NGC 6121 LEE 4302
CL* NGC 6121 LEE 4611    | |16 23 38.470|-26 33 19.3|X0364|56059.1885|       |spU|spV|spN|fits/xsl_spectrum_X0364_uvb.fits        |fits/xsl_spectrum_X0364_vis.fits        |fits/xsl_spectrum_X0364_nir.fits        |                                                                                                                                                                                                        |CL* NGC 6121 LEE 4611
CL* NGC 6121 LEE 4611    | |16 23 38.470|-26 33 19.3|X0908|56732.3282|       |spU|spV|spN|fits/xsl_spectrum_X0908_uvb.fits        |fits/xsl_spectrum_X0908_vis.fits        |fits/xsl_spectrum_X0908_nir.fits        |                                                                                                                                                                                                        |CL* NGC 6121 LEE 4611
CL* NGC 6121 LEE 4613    | |16 23 39.230|-26 33 06.1|X0909|56732.3550|       |spU|spV|spN|fits/xsl_spectrum_X0909_uvb.fits        |fits/xsl_spectrum_X0909_vis.fits        |fits/xsl_spectrum_X0909_nir.fits        |                                                                                                                                                                                                        |CL* NGC 6121 LEE 4613
BD+09 3223               | |16 33 35.580|+09 06 16.3|X0464|56163.9971|       |spU|spV|spN|fits/xsl_spectrum_X0464_uvb.fits        |fits/xsl_spectrum_X0464_vis.fits        |fits/xsl_spectrum_X0464_nir.fits        |                                                                                                                                                                                                        |BD+09 3223
HD 149382                | |16 34 23.330|-04 00 52.0|X0692|56412.2250|       |spU|spV|spN|fits/xsl_spectrum_X0692_uvb.fits        |fits/xsl_spectrum_X0692_vis.fits        |fits/xsl_spectrum_X0692_nir.fits        |                                                                                                                                                                                                        |HD 149382
HD 150281                | |16 39 49.990|+05 30 25.9|X0456|56156.0083|       |spU|spV|spN|fits/xsl_spectrum_X0456_uvb.fits        |fits/xsl_spectrum_X0456_vis.fits        |fits/xsl_spectrum_X0456_nir.fits        |                                                                                                                                                                                                        |HD 150281
G169-28                  | |16 50 11.470|+22 18 50.0|X0225|55412.0490|       |spU|spV|spN|fits/xsl_spectrum_X0225_uvb.fits        |fits/xsl_spectrum_X0225_vis.fits        |fits/xsl_spectrum_X0225_nir.fits        |                                                                                                                                                                                                        |G169-28
GJ 644C                  | |16 55 35.260|-08 23 40.7|X0156|55395.1134|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0156_uvb_nlc.fits|fits/xsl_spectrum_X0156_vis.fits        |fits/xsl_spectrum_X0156_nir.fits        |                                                                                                                                                                                                        |GJ 644C
G019-013                 | |17 05 03.390|-05 03 59.4|X0458|56156.0843|       |spU|spV|spN|fits/xsl_spectrum_X0458_uvb.fits        |fits/xsl_spectrum_X0458_vis.fits        |fits/xsl_spectrum_X0458_nir.fits        |                                                                                                                                                                                                        |G019-013
HIP 84123                | |17 11 52.250|-01 51 06.3|X0659|56407.2953|       |spU|spV|spN|fits/xsl_spectrum_X0659_uvb.fits        |fits/xsl_spectrum_X0659_vis.fits        |fits/xsl_spectrum_X0659_nir.fits        |                                                                                                                                                                                                        |HIP 84123
CD-69 1618               | |17 12 32.900|-70 05 08.5|X0357|56051.1785|       |spU|spV|spN|fits/xsl_spectrum_X0357_uvb.fits        |fits/xsl_spectrum_X0357_vis.fits        |fits/xsl_spectrum_X0357_nir.fits        |He-rich                                                                                                                                                                                                 |CD-69 1618
HD 157089                | |17 21 07.060|+01 26 34.9|X0140|55357.2093|       |spU|spV|spN|fits/xsl_spectrum_X0140_uvb.fits        |fits/xsl_spectrum_X0140_vis.fits        |fits/xsl_spectrum_X0140_nir.fits        |                                                                                                                                                                                                        |HD 157089
CD-49 11404              | |17 24 50.070|-49 56 56.0|X0355|56043.3608|       |spU|spV|spN|fits/xsl_spectrum_X0355_uvb.fits        |fits/xsl_spectrum_X0355_vis.fits        |fits/xsl_spectrum_X0355_nir.fits        |                                                                                                                                                                                                        |CD-49 11404
CD-49 11404              | |17 24 50.070|-49 56 56.0|X0454|56155.9755|       |spU|spV|spN|fits/xsl_spectrum_X0454_uvb.fits        |fits/xsl_spectrum_X0454_vis.fits        |fits/xsl_spectrum_X0454_nir.fits        |                                                                                                                                                                                                        |CD-49 11404
RR Ara                   | |17 27 51.960|-49 54 15.3|X0396|56097.0345|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0396_uvb_nlc.fits|fits/xsl_spectrum_X0396_vis.fits        |fits/xsl_spectrum_X0396_nir.fits        |                                                                                                                                                                                                        |RR Ara
RR Ara                   | |17 27 51.960|-49 54 15.3|X0397|56097.0380|       |spU|spV|spN|fits/xsl_spectrum_X0397_uvb.fits        |fits/xsl_spectrum_X0397_vis.fits        |fits/xsl_spectrum_X0397_nir.fits        |                                                                                                                                                                                                        |RR Ara
FR Her                   | |17 37 05.960|+18 13 04.7|X0638|56383.3393|       |spU|spV|spN|fits/xsl_spectrum_X0638_uvb.fits        |fits/xsl_spectrum_X0638_vis.fits        |fits/xsl_spectrum_X0638_nir.fits        |                                                                                                                                                                                                        |FR Her
HD 160365                | |17 38 57.850|+13 19 45.3|X0141|55357.2194|       |spU|spV|spN|fits/xsl_spectrum_X0141_uvb.fits        |fits/xsl_spectrum_X0141_vis.fits        |fits/xsl_spectrum_X0141_nir.fits        |                                                                                                                                                                                                        |HD 160365
HD 160346                | |17 39 16.930|+03 33 18.9|X0142|55357.2306|       |spU|spV|spN|fits/xsl_spectrum_X0142_uvb.fits        |fits/xsl_spectrum_X0142_vis.fits        |fits/xsl_spectrum_X0142_nir.fits        |                                                                                                                                                                                                        |HD 160346
NGC 6397 211             | |17 41 25.410|-53 37 37.9|X0643|56395.3850|       |spU|spV|spN|fits/xsl_spectrum_X0643_uvb.fits        |fits/xsl_spectrum_X0643_vis.fits        |fits/xsl_spectrum_X0643_nir.fits        |                                                                                                                                                                                                        |NGC 6397 211
HD 161149                | |17 43 22.020|+14 17 42.6|X0488|56165.0718|       |spU|spV|spN|fits/xsl_spectrum_X0488_uvb.fits        |fits/xsl_spectrum_X0488_vis.fits        |fits/xsl_spectrum_X0488_nir.fits        |                                                                                                                                                                                                        |HD 161149
HD 161227                | |17 44 59.250|-16 45 46.6|X0674|56407.4031|       |spU|spV|spN|fits/xsl_spectrum_X0674_uvb.fits        |fits/xsl_spectrum_X0674_vis.fits        |fits/xsl_spectrum_X0674_nir.fits        |                                                                                                                                                                                                        |HD 161227
HD 161370                | |17 45 00.880|+05 31 22.4|X0465|56164.0045|       |spU|spV|spN|fits/xsl_spectrum_X0465_uvb.fits        |fits/xsl_spectrum_X0465_vis.fits        |fits/xsl_spectrum_X0465_nir.fits        |                                                                                                                                                                                                        |HD 161370
HD 161817                | |17 46 40.630|+25 44 56.9|X0639|56383.3498|       |spU|spV|spN|fits/xsl_spectrum_X0639_uvb.fits        |fits/xsl_spectrum_X0639_vis.fits        |fits/xsl_spectrum_X0639_nir.fits        |                                                                                                                                                                                                        |HD 161817
G20-15                   | |17 47 27.970|-08 46 47.7|X0157|55395.1211|       |spU|spV|spN|fits/xsl_spectrum_X0157_uvb.fits        |fits/xsl_spectrum_X0157_vis.fits        |fits/xsl_spectrum_X0157_nir.fits        |                                                                                                                                                                                                        |G20-15
OGLEII DIA BUL-SC26 0532 | |17 47 42.330|-35 19 57.5|X0144|55375.3414|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0144_uvb_nlc.fits|fits/xsl_spectrum_X0144_vis.fits        |fits/xsl_spectrum_X0144_nir.fits        |A few artificial waves in the VIS arm (residuals from stripes in raw images)                                                                                                                            |OGLEII DIA BUL-SC26 0532
HD 161770                | |17 47 46.080|-09 36 18.4|X0143|55357.2408|       |spU|spV|spN|fits/xsl_spectrum_X0143_uvb.fits        |fits/xsl_spectrum_X0143_vis.fits        |fits/xsl_spectrum_X0143_nir.fits        |                                                                                                                                                                                                        |HD 161770
OGLEII DIA BUL-SC15 1379 | |17 48 25.030|-23 15 34.5|X0158|55395.1282|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0158_uvb_nlc.fits|fits/xsl_spectrum_X0158_vis.fits        |fits/xsl_spectrum_X0158_nir.fits        |                                                                                                                                                                                                        |OGLEII DIA BUL-SC15 1379
OGLEII DIA BUL-SC15 2106 | |17 48 30.350|-23 05 23.4|X0159|55395.1370|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0159_uvb_nlc.fits|fits/xsl_spectrum_X0159_vis.fits        |fits/xsl_spectrum_X0159_nir.fits        |                                                                                                                                                                                                        |OGLEII DIA BUL-SC15 2106
V348 Sco                 | |17 51 29.930|-43 16 23.4|X0647|56399.3931|       |spU|spV|spN|fits/xsl_spectrum_X0647_uvb.fits        |fits/xsl_spectrum_X0647_vis.fits        |fits/xsl_spectrum_X0647_nir.fits        |                                                                                                                                                                                                        |V348 Sco
SY Pav                   | |17 52 04.720|-57 51 46.0|X0642|56395.3768|       |spU|spV|spN|fits/xsl_spectrum_X0642_uvb.fits        |fits/xsl_spectrum_X0642_vis.fits        |fits/xsl_spectrum_X0642_nir.fits        |                                                                                                                                                                                                        |SY Pav
SY Pav                   | |17 52 04.720|-57 51 46.0|X0644|56395.3947|       |spU|spV|spN|fits/xsl_spectrum_X0644_uvb.fits        |fits/xsl_spectrum_X0644_vis.fits        |fits/xsl_spectrum_X0644_nir.fits        |                                                                                                                                                                                                        |SY Pav
SY Pav                   | |17 52 04.720|-57 51 46.0|X0910|56759.4046|       |spU|spV|spN|fits/xsl_spectrum_X0910_uvb.fits        |fits/xsl_spectrum_X0910_vis.fits        |fits/xsl_spectrum_X0910_nir.fits        |                                                                                                                                                                                                        |SY Pav
SY Pav                   | |17 52 04.720|-57 51 46.0|X0911|56762.4124|       |spU|spV|spN|fits/xsl_spectrum_X0911_uvb.fits        |fits/xsl_spectrum_X0911_vis.fits        |fits/xsl_spectrum_X0911_nir.fits        |                                                                                                                                                                                                        |SY Pav
HD 162652                | |17 52 05.200|+01 06 40.2|X0466|56164.0244|       |spU|spV|spN|fits/xsl_spectrum_X0466_uvb.fits        |fits/xsl_spectrum_X0466_vis.fits        |fits_nlc/xsl_spectrum_X0466_nir_nlc.fits|                                                                                                                                                                                                        |HD 162652
OGLEII DIA BUL-SC41 3443 | |17 52 13.890|-32 46 34.0|X0145|55375.3561|UVB    |spU|spV|spN|                                        |fits/xsl_spectrum_X0145_vis.fits        |fits/xsl_spectrum_X0145_nir.fits        |                                                                                                                                                                                                        |OGLEII DIA BUL-SC41 3443
OGLEII DIA BUL-SC41 3304 | |17 52 25.930|-32 49 07.9|X0146|55375.3681|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0146_uvb_nlc.fits|fits/xsl_spectrum_X0146_vis.fits        |fits/xsl_spectrum_X0146_nir.fits        |                                                                                                                                                                                                        |OGLEII DIA BUL-SC41 3304
OGLEII DIA BUL-SC03 3941 | |17 53 32.570|-29 57 13.0|X0160|55395.1451|       |spU|spV|spN|fits/xsl_spectrum_X0160_uvb.fits        |fits/xsl_spectrum_X0160_vis.fits        |fits/xsl_spectrum_X0160_nir.fits        |                                                                                                                                                                                                        |OGLEII DIA BUL-SC03 3941
OGLEII DIA BUL-SC24 0989 | |17 53 39.350|-33 06 03.1|X0147|55375.3842|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0147_uvb_nlc.fits|fits/xsl_spectrum_X0147_vis.fits        |fits/xsl_spectrum_X0147_nir.fits        |                                                                                                                                                                                                        |OGLEII DIA BUL-SC24 0989
OGLEII DIA BUL-SC03 1890 | |17 53 45.230|-30 11 51.7|X0246|55438.0573|       |spU|spV|spN|fits/xsl_spectrum_X0246_uvb.fits        |fits/xsl_spectrum_X0246_vis.fits        |fits/xsl_spectrum_X0246_nir.fits        |                                                                                                                                                                                                        |OGLEII DIA BUL-SC03 1890
2MASS J17535707-2931427  | |17 53 57.070|-29 31 42.8|X0247|55438.0688|       |spU|spV|spN|fits/xsl_spectrum_X0247_uvb.fits        |fits/xsl_spectrum_X0247_vis.fits        |fits/xsl_spectrum_X0247_nir.fits        |                                                                                                                                                                                                        |2MASS J17535707-2931427
OGLEII DIA BUL-SC04 9008 | |17 54 27.950|-29 15 46.0|X0251|55439.1299|       |spU|spV|spN|fits/xsl_spectrum_X0251_uvb.fits        |fits/xsl_spectrum_X0251_vis.fits        |fits/xsl_spectrum_X0251_nir.fits        |                                                                                                                                                                                                        |OGLEII DIA BUL-SC04 9008
OGLEII DIA BUL-SC04 4628 | |17 54 33.410|-29 44 04.1|X0250|55439.1241|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0250_uvb_nlc.fits|fits/xsl_spectrum_X0250_vis.fits        |fits/xsl_spectrum_X0250_nir.fits        |                                                                                                                                                                                                        |OGLEII DIA BUL-SC04 4628
BD+20 3603               | |17 54 43.230|+20 16 16.4|X0387|56091.2015|       |spU|spV|spN|fits/xsl_spectrum_X0387_uvb.fits        |fits/xsl_spectrum_X0387_vis.fits        |fits/xsl_spectrum_X0387_nir.fits        |                                                                                                                                                                                                        |BD+20 3603
OGLEII DIA BUL-SC04 1709 | |17 54 49.070|-30 00 31.0|X0252|55439.1357|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0252_uvb_nlc.fits|fits/xsl_spectrum_X0252_vis.fits        |fits/xsl_spectrum_X0252_nir.fits        |                                                                                                                                                                                                        |OGLEII DIA BUL-SC04 1709
HD 163346                | |17 55 37.510|+02 04 29.7|X0269|55457.0671|       |spU|spV|spN|fits/xsl_spectrum_X0269_uvb.fits        |fits/xsl_spectrum_X0269_vis.fits        |fits/xsl_spectrum_X0269_nir.fits        |A few artificial waves in the VIS arm (residuals from stripes in raw images)                                                                                                                            |HD 163346
HD 163641                | |17 56 55.980|+06 29 15.8|X0270|55457.0803|       |spU|spV|spN|fits/xsl_spectrum_X0270_uvb.fits        |fits/xsl_spectrum_X0270_vis.fits        |fits/xsl_spectrum_X0270_nir.fits        |                                                                                                                                                                                                        |HD 163641
OGLEII DIA BUL-SC22 1319 | |17 57 10.190|-31 02 16.7|X0253|55439.1414|UVB    |spU|spV|spN|                                        |fits/xsl_spectrum_X0253_vis.fits        |fits/xsl_spectrum_X0253_nir.fits        |                                                                                                                                                                                                        |OGLEII DIA BUL-SC22 1319
HD 163810                | |17 58 38.450|-13 05 49.6|X0282|55458.1338|       |spU|spV|spN|fits/xsl_spectrum_X0282_uvb.fits        |fits/xsl_spectrum_X0282_vis.fits        |fits/xsl_spectrum_X0282_nir.fits        |                                                                                                                                                                                                        |HD 163810
HD 164115                | |17 59 27.070|+06 25 08.2|X0677|56410.3280|       |spU|spV|spN|fits/xsl_spectrum_X0677_uvb.fits        |fits/xsl_spectrum_X0677_vis.fits        |fits/xsl_spectrum_X0677_nir.fits        |                                                                                                                                                                                                        |HD 164115
TLE Sgr I 55             | |17 59 29.650|-29 03 20.6|X0226|55412.0623|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0226_uvb_nlc.fits|fits_nlc/xsl_spectrum_X0226_vis_nlc.fits|fits/xsl_spectrum_X0226_nir.fits        |                                                                                                                                                                                                        |TLE Sgr I 55
TLE Sgr I 11             | |17 59 56.130|-28 53 27.5|X0227|55412.0748|UVB/VIS|spU|spV|spN|                                        |                                        |fits/xsl_spectrum_X0227_nir.fits        |                                                                                                                                                                                                        |TLE Sgr I 11
HD 164257                | |18 00 07.310|+06 33 14.1|X0228|55412.0867|       |spU|spV|spN|fits/xsl_spectrum_X0228_uvb.fits        |fits/xsl_spectrum_X0228_vis.fits        |fits/xsl_spectrum_X0228_nir.fits        |                                                                                                                                                                                                        |HD 164257
TLE Sgr I 117            | |18 00 45.750|-29 11 05.3|X0229|55412.0974|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0229_uvb_nlc.fits|fits_nlc/xsl_spectrum_X0229_vis_nlc.fits|fits/xsl_spectrum_X0229_nir.fits        |                                                                                                                                                                                                        |TLE Sgr I 117
HD 164432                | |18 00 52.860|+06 16 05.8|X0467|56164.0302|       |spU|spV|spN|fits/xsl_spectrum_X0467_uvb.fits        |fits/xsl_spectrum_X0467_vis.fits        |fits/xsl_spectrum_X0467_nir.fits        |                                                                                                                                                                                                        |HD 164432
OGLEII DIA BUL-SC30 0707 | |18 01 46.140|-29 11 18.3|X0230|55412.1032|       |spU|spV|spN|fits_nlc/xsl_spectrum_X0230_uvb_nlc.fits|fits/xsl_spectrum_X0230_vis.fits        |fits/xsl_spectrum_X0230_nir.fits        |                                                                                                                                                                                                        |OGLEII DIA BUL-SC30 0707
